55701 165472
node2,node1,weight
14,30393,1.0
15,31072,1.0
17,30387,1.0
17,30389,1.0
17,30388,1.0
17,31061,1.0
18,30395,1.0
18,31055,1.0
20,31054,1.0
32,30406,1.0
32,31080,1.0
33,31062,1.0
35,30389,1.0
35,31053,1.0
35,31076,1.0
55,30435,1.0
55,31099,1.0
55,31122,1.0
55,31127,1.0
57,30436,1.0
57,30446,1.0
58,30408,1.0
59,30423,1.0
59,31103,1.0
60,30440,1.0
60,31128,1.0
61,30440,1.0
61,30475,1.0
61,30487,1.0
61,30490,1.0
61,30484,1.0
61,31159,1.0
61,31181,1.0
61,31176,1.0
64,30476,1.0
64,31149,1.0
65,30419,1.0
65,30445,1.0
65,31119,1.0
67,30407,1.0
67,31101,1.0
67,31078,1.0
67,31124,1.0
67,31120,1.0
68,30458,1.0
68,30457,1.0
68,31148,1.0
69,30465,1.0
69,30439,1.0
69,30433,1.0
69,31129,1.0
69,31164,1.0
69,31143,1.0
69,31160,1.0
70,30447,1.0
71,30442,1.0
71,31127,1.0
90,30437,1.0
91,31156,1.0
93,30459,1.0
93,30457,1.0
93,31142,1.0
96,30446,1.0
96,30434,1.0
97,30469,1.0
97,30465,1.0
97,30471,1.0
97,31164,1.0
97,31143,1.0
97,31160,1.0
97,31163,1.0
98,30469,1.0
98,30465,1.0
98,30471,1.0
98,31120,1.0
98,31164,1.0
98,31143,1.0
98,31160,1.0
103,30459,1.0
103,30469,1.0
103,30458,1.0
103,30457,1.0
103,31098,1.0
103,31160,1.0
104,30471,1.0
104,31163,1.0
106,30460,1.0
117,30477,1.0
117,30466,1.0
117,30491,1.0
120,30495,1.0
120,30508,1.0
120,30494,1.0
121,30490,1.0
121,30484,1.0
121,31176,1.0
122,30495,1.0
122,30508,1.0
122,30494,1.0
122,30489,1.0
122,30513,1.0
124,30614,1.0
126,30592,1.0
127,30474,1.0
129,30473,1.0
148,30510,1.0
148,31201,1.0
149,30477,1.0
149,30466,1.0
149,30491,1.0
150,30589,1.0
151,30612,1.0
151,31184,1.0
153,30492,1.0
153,31179,1.0
155,30506,1.0
155,30507,1.0
155,31199,1.0
157,30537,1.0
157,30524,1.0
157,31221,1.0
158,30526,1.0
158,30525,1.0
158,31220,1.0
168,30511,1.0
168,31215,1.0
168,31198,1.0
171,30509,1.0
171,30528,1.0
171,31214,1.0
173,30526,1.0
173,30525,1.0
173,31147,1.0
175,30631,1.0
175,30633,1.0
176,30633,1.0
177,30555,1.0
177,30557,1.0
177,31255,1.0
194,30558,1.0
195,30467,1.0
197,30544,1.0
199,30567,1.0
199,30569,1.0
200,30570,1.0
200,31270,1.0
201,30581,1.0
202,30568,1.0
202,31268,1.0
204,30541,1.0
204,31256,1.0
205,30472,1.0
205,31237,1.0
217,31291,1.0
217,31284,1.0
219,30564,1.0
219,31269,1.0
221,30555,1.0
221,30582,1.0
221,30578,1.0
221,31255,1.0
221,31249,1.0
221,31287,1.0
221,31288,1.0
222,30564,1.0
222,30568,1.0
222,30584,1.0
222,30582,1.0
222,31269,1.0
222,31268,1.0
222,31287,1.0
222,31288,1.0
224,30565,1.0
244,30580,1.0
244,30579,1.0
244,31284,1.0
246,30584,1.0
246,31285,1.0
246,31305,1.0
248,30593,1.0
248,30589,1.0
250,30581,1.0
251,30601,1.0
251,31300,1.0
252,31316,1.0
253,30583,1.0
253,31283,1.0
254,30565,1.0
254,30566,1.0
270,30607,1.0
270,30600,1.0
271,30606,1.0
271,31303,1.0
271,31314,1.0
272,30604,1.0
272,31316,1.0
273,30582,1.0
273,30578,1.0
273,31285,1.0
273,31305,1.0
274,30588,1.0
274,31301,1.0
275,30750,1.0
278,30756,1.0
278,31498,1.0
280,30769,1.0
