node_idx,layer_id,x,y,z
0,13006,64.1144,497.141,892.8
1,13006,83.1036,491.035,923.2
2,13006,60.3477,495.253,924.55
3,13006,30.8349,499.061,916.2
4,13006,-10.4018,501.572,978.35
5,13006,-79.8149,492.046,886.8
6,13006,-155.399,473.273,912.8
7,13006,-313.708,387.531,896
8,13006,-402.037,300.873,916.2
9,13006,-399.751,298.836,925.1
10,13006,-407.471,286.147,957
11,13006,-394.394,300.068,914.1
12,13006,-443.296,224.199,953.6
13,13006,-472.786,151.778,954.9
14,13006,-478.599,139.167,938
15,13006,-500.239,8.9472,963.6
16,13006,-499.223,-3.21262,1009.8
17,13006,-499.325,-4.14034,991.6
18,13006,-491.546,-96.7874,1065.7
19,13006,-479.966,-152.595,1065
20,13006,-480.215,-150.718,989.8
21,13006,-458.454,-197.179,1079
22,13006,-382.657,-326.977,991.8
23,13006,-306.628,-395.467,1069.4
24,13006,-272.214,-420.242,1064.5
25,13006,-273.081,-417.529,982.6
26,13006,-4.28811,-500.852,1069.4
27,13006,51.2974,-500.635,1000.6
28,13006,147.128,-477.723,1059.8
29,13006,295.671,-403.94,1069.8
30,13006,318.28,-391.752,1013.08
31,13006,338.355,-371.62,990.1
32,13006,339.412,-370.935,1025.2
33,13006,357.865,-350.338,1082.6
34,13006,362.473,-346.794,987.8
35,13006,348,-361.799,1009.4
36,13006,375.231,-329.16,1072.2
37,13006,379.835,-324.989,1009.8
38,13006,379.005,-325.741,1053.8
39,13006,421.296,-275.762,1015.8
40,13006,437.1,-247.256,991.3
41,13006,465.646,-183.636,1010.6
42,13006,477.038,-149.64,1024.2
43,13006,494.646,-76.1431,985.8
44,13006,496.327,-65.9126,1030.6
45,13006,503.004,37.5383,994
46,13006,497.193,38.1485,985.6
47,13006,468.257,173.832,980.3
48,13006,459.363,194.166,985.6
49,13006,177.226,473.304,1018.6
50,13006,194.929,462.383,1016.2
51,13006,36.9954,500.662,998.2
52,13006,43.3299,499.175,1074.6
53,13006,-129.327,484.582,979.4
54,13006,-126.758,486.308,1079.8
55,13006,-180.779,465.449,1082.2
56,13006,-318.34,391.719,1000.9
57,13006,-325.233,380.124,1041.16
58,13006,-347.458,362.13,1000
59,13006,-358.038,350.204,1053.88
60,13006,-396.713,309.699,1040.2
61,13006,-402.864,304.126,1062.1
62,13006,-380.863,324.058,1010.6
63,13006,-408.516,289.367,1083.4
64,13006,-448.89,232.485,1009.6
65,13006,-449.673,220.045,1020.6
66,13006,-457.81,207.971,1045.8
67,13006,-463.92,186.704,1038.6
68,13006,-481.176,140.661,1069.3
69,13006,-485.611,131.041,1020.2
70,13006,-487.594,119.525,1013.2
71,13006,-486.778,121.509,1062.2
72,13006,-488.459,108.24,1019.4
73,13008,-647.726,-118.057,-1039
74,13008,-509.653,-418.689,-998.2
75,13008,-467.99,-470.17,-999.4
76,13008,-198.912,-631.171,-989.8
77,13008,-66.0799,-660.748,-1064.6
78,13008,19.1787,-664.399,-986.6
79,13008,136.538,-649.715,-1051.8
80,13008,115.457,-650.449,-1051.4
81,13008,215.069,-628.056,-1062.6
82,13008,270.918,-602.557,-1078.6
83,13008,308.666,-584.319,-1056.4
84,13008,305.464,-585.462,-1058.2
85,13008,547.822,-369.377,-1035.8
86,13008,654.147,-99.9516,-1069.9
87,13008,658.955,65.8374,-1015.6
88,13008,489.682,450.656,-1063.8
89,13008,490.007,450.136,-977.8
90,13008,497.424,438.263,-1033
91,13008,490.727,448.983,-989.8
92,13008,444.56,490.198,-993.4
93,13008,453.594,479.062,-987.7
94,13008,324.982,573.78,-1063.6
95,13008,73.3082,658.723,-1015
96,13008,13.1475,659.513,-1056.6
97,13008,-47.4792,660.844,-985.8
98,13008,-59.3483,655.898,-1000.6
99,13008,-88.4446,656.678,-1023
100,13008,-92.7497,656.793,-1032.2
101,13008,-513.131,421.07,-1046.8
102,13008,-560.744,355.087,-1023.4
103,13008,-586.556,313.61,-1020.4
104,13008,-570.936,333.181,-1013.8
105,13008,-583.192,312.924,-1039
106,13008,-582.52,308.577,-1057.8
107,13008,-604.795,276.841,-1075
108,13008,-587.491,301.494,-1078.6
109,13008,-595.442,290.166,-1016.2
110,13008,-628.259,211.651,-1009
111,13008,-594.005,-279.443,-888
112,13008,-595.749,-274.037,-893.4
113,13008,-571.106,-327.136,-966
114,13008,-514.139,-413.497,-985.467
115,13008,-503.454,-423.013,-962.4
116,13008,-447.403,-481.986,-928.2
117,13008,-444.933,-485.03,-878.4
118,13008,-436.994,-494.815,-894
119,13008,-422.602,-502.39,-923.2
120,13008,-380.015,-537.898,-897.2
121,13008,-394.064,-524.384,-933.6
122,13008,91.3414,-653.788,-924.4
123,13008,98.6624,-648.065,-883.2
124,13008,175.889,-637.134,-902.8
125,13008,172.969,-637.417,-888
126,13008,421.893,-507.743,-970.2
127,13008,536.442,-381.966,-929.75
128,13008,625.486,-210.548,-879.6
129,13008,631.734,-183.784,-975.3
130,13008,626.77,-194.687,-879
131,13008,656.909,-27.2728,-873.6
132,13008,658.512,22.989,-960
133,13008,588.124,297.678,-878.4
134,13008,570.391,328.961,-901.2
135,13008,467.502,465.748,-890
136,13008,473.925,456.752,-894
137,13008,477.155,452.227,-914.4
138,13008,441.909,488.757,-956.4
139,13008,326.423,568.995,-926.8
140,13008,325.291,569.842,-950.4
141,13008,107.263,652.066,-876.8
142,13008,5.87015,657.613,-886
143,13008,-18.5459,661.303,-900.4
144,13008,-19.7561,658.431,-884.8
145,13008,-5.36888,659.311,-920.1
146,13008,-19.9086,655.423,-892.8
147,13008,-182.215,630.286,-890.4
148,13008,-234.257,614.841,-876
149,13008,-318.209,577.763,-918
150,13008,-306.908,581.797,-890.4
151,13008,-301.093,583.872,-905.6
152,13008,-557.533,354.216,-884.7
153,13008,-538.014,375.8,-915.6
154,13008,-544.453,368.68,-951.6
155,13008,-650.231,102.526,-924.6
156,13008,-658.854,-64.0803,-827
157,13008,-653.689,-97.0785,-853.4
158,13008,-653.719,-89.6785,-849.8
159,13008,-645.886,-146.077,-871.4
160,13008,-647.414,-122.807,-773
161,13008,-605.192,-273.431,-821
162,13008,-575.296,-324.577,-840.2
163,13008,-546.424,-376.153,-781.1
164,13008,-458.295,-473.269,-777.8
165,13008,-206.076,-627.64,-869.8
166,13008,-145.837,-646.406,-769.95
167,13008,-144.428,-645.431,-817
168,13008,92.2965,-656.781,-873.8
169,13008,101.293,-657.022,-876.8
170,13008,92.4431,-656.785,-870.6
171,13008,74.5829,-656.306,-784.4
172,13008,103.385,-650.869,-809.8
173,13008,162.991,-641.362,-786.2
174,13008,137.55,-643.822,-789.8
175,13008,169.799,-640.704,-803
176,13008,270.534,-602.668,-853.4
177,13008,307.862,-584.606,-823
178,13008,310.437,-583.687,-783.8
179,13008,388.674,-536.657,-803
180,13008,425.294,-509.194,-859.4
181,13008,434.517,-496.295,-775.4
182,13008,566.817,-348.373,-829
183,13008,577.947,-324.396,-812.6
184,13008,562.652,-343.56,-821
185,13008,658.392,-86.4218,-841.4
186,13008,658.488,-35.1299,-861
187,13008,659.965,10.1737,-783.8
188,13008,592.725,293.076,-843.8
189,13008,487.598,448.099,-814.6
190,13008,468.339,469.681,-797
191,13008,463.443,476.539,-832.6
192,13008,366.828,550.588,-812.8
193,13008,332.879,571.617,-778.6
194,13008,185.817,637.627,-784.4
195,13008,168.105,638.693,-855.4
196,13008,93.8375,652.97,-805.4
197,13008,26.0084,663.406,-853.4
198,13008,-22.5142,664.903,-834.2
199,13008,-24.4761,658.805,-826.4
200,13008,-177.643,639.945,-792.2
201,13008,-177.042,634.114,-785
202,13008,-229.68,618.902,-841.4
203,13008,-251.203,614.098,-835.8
204,13008,-333.222,568.844,-821.9
205,13008,-398.859,531.535,-800.6
206,13008,-414.338,515.578,-861.8
207,13008,-421.078,511.651,-818.6
208,13008,-475.861,459.76,-818
209,13008,-502.596,430.168,-789.8
210,13008,-627.564,212.957,-819.8
211,13008,-650.936,110.186,-805.8
212,13008,-649.444,114.944,-779.4
213,13008,-639.099,-158.726,-755
214,13008,-570.449,-328.812,-671.8
215,13008,-544.64,-372.954,-759.4
216,13008,-550.474,-360.404,-721.6
217,13008,-485.67,-445.63,-732.4
218,13008,-229.906,-618.593,-753.2
219,13008,-204.891,-624.917,-743.2
220,13008,-185.218,-634.615,-752
221,13008,-212.39,-621.22,-668.8
222,13008,-154.631,-641.117,-714.4
223,13008,-141.844,-640.036,-761.2
224,13008,-127.463,-645.039,-718.4
225,13008,260.249,-602.551,-730.6
226,13008,265.834,-600.938,-705.2
227,13008,291.377,-593.56,-765.4
228,13008,405.096,-517.531,-765.4
229,13008,432.962,-493.767,-772
230,13008,561.625,-345.057,-688.8
231,13008,616.307,-240.557,-729.7
232,13008,622.387,-216.375,-728.8
233,13008,658.9,-47.7797,-707.8
234,13008,644.222,126.157,-721.6
