12649 12080
node2,node1,weight
0,3827,1.0
0,3826,1.0
0,3906,1.0
2,3914,1.0
3,3838,1.0
3,3837,1.0
3,3923,1.0
6,3844,1.0
6,3929,1.0
7,3845,1.0
7,3930,1.0
8,3846,1.0
9,3853,1.0
9,3936,1.0
9,3934,1.0
10,3849,1.0
11,3859,1.0
14,3851,1.0
14,3955,1.0
15,3852,1.0
16,3875,1.0
17,3880,1.0
17,3879,1.0
24,3895,1.0
25,3900,1.0
25,3903,1.0
26,0,1.0
27,1,1.0
28,4,1.0
29,3,1.0
30,10,1.0
31,4014,1.0
31,4016,1.0
31,4015,1.0
32,5,1.0
33,4017,1.0
34,7,1.0
35,4040,1.0
36,9,1.0
37,4030,1.0
37,4029,1.0
37,12,1.0
38,13,1.0
39,14,1.0
41,17,1.0
42,19,1.0
43,18,1.0
44,4051,1.0
44,4054,1.0
45,21,1.0
46,20,1.0
47,4059,1.0
48,22,1.0
49,4065,1.0
50,24,1.0
51,23,1.0
53,25,1.0
54,4080,1.0
55,26,1.0
56,4089,1.0
58,28,1.0
59,29,1.0
60,4098,1.0
61,4103,1.0
62,32,1.0
63,34,1.0
65,4114,1.0
65,4115,1.0
66,30,1.0
67,36,1.0
68,4120,1.0
69,37,1.0
73,4126,1.0
74,4129,1.0
75,38,1.0
76,35,1.0
77,39,1.0
78,4116,1.0
78,4136,1.0
79,4139,1.0
80,40,1.0
81,43,1.0
82,41,1.0
83,42,1.0
84,44,1.0
85,46,1.0
86,48,1.0
87,49,1.0
89,50,1.0
90,4152,1.0
91,51,1.0
92,53,1.0
93,52,1.0
94,54,1.0
95,55,1.0
96,56,1.0
97,4182,1.0
98,4181,1.0
99,59,1.0
100,58,1.0
101,57,1.0
102,60,1.0
103,61,1.0
105,4214,1.0
106,63,1.0
107,62,1.0
108,64,1.0
109,65,1.0
111,66,1.0
112,67,1.0
113,4291,1.0
114,4291,1.0
116,89,1.0
118,69,1.0
119,70,1.0
120,72,1.0
121,71,1.0
122,74,1.0
123,75,1.0
124,76,1.0
125,77,1.0
126,79,1.0
127,82,1.0
128,81,1.0
129,83,1.0
130,4308,1.0
130,4311,1.0
131,85,1.0
132,91,1.0
133,90,1.0
134,4327,1.0
135,88,1.0
136,92,1.0
137,93,1.0
138,94,1.0
140,4181,1.0
140,98,1.0
141,4173,1.0
142,102,1.0
143,4182,1.0
143,97,1.0
145,101,1.0
146,99,1.0
147,100,1.0
149,4206,1.0
151,4208,1.0
152,110,1.0
153,104,1.0
154,107,1.0
155,106,1.0
156,123,1.0
157,109,1.0
158,4228,1.0
159,112,1.0
160,111,1.0
161,4292,1.0
161,4291,1.0
162,118,1.0
164,120,1.0
165,4261,1.0
166,4262,1.0
167,124,1.0
168,125,1.0
169,115,1.0
170,4800,1.0
170,4810,1.0
170,4287,1.0
171,126,1.0
173,4298,1.0
174,127,1.0
175,4304,1.0
175,4306,1.0
176,131,1.0
178,4308,1.0
178,4311,1.0
178,130,1.0
179,129,1.0
181,4884,1.0
181,4313,1.0
181,4312,1.0
184,133,1.0
185,4325,1.0
186,132,1.0
187,116,1.0
188,117,1.0
189,135,1.0
190,136,1.0
191,4967,1.0
191,4954,1.0
191,4345,1.0
191,4341,1.0
192,4955,1.0
192,4344,1.0
193,4346,1.0
194,138,1.0
195,139,1.0
196,4388,1.0
196,4389,1.0
197,4387,1.0
197,4409,1.0
198,4404,1.0
198,4403,1.0
198,4424,1.0
199,4385,1.0
199,141,1.0
200,140,1.0
201,143,1.0
202,149,1.0
203,144,1.0
204,142,1.0
205,146,1.0
206,142,1.0
207,145,1.0
208,4405,1.0
209,147,1.0
210,148,1.0
212,4490,1.0
212,4497,1.0
212,4491,1.0
213,150,1.0
213,151,1.0
214,4431,1.0
215,4523,1.0
215,4515,1.0
216,155,1.0
217,154,1.0
218,4464,1.0
218,4580,1.0
219,4565,1.0
219,4464,1.0
219,4580,1.0
222,157,1.0
223,159,1.0
225,4600,1.0
225,4599,1.0
226,160,1.0
228,183,1.0
229,4613,1.0
229,4614,1.0
231,162,1.0
232,4651,1.0
232,4637,1.0
233,180,1.0
234,163,1.0
239,4704,1.0
239,4702,1.0
241,4540,1.0
245,167,1.0
246,156,1.0
247,4773,1.0
249,168,1.0
250,171,1.0
251,4800,1.0
251,4810,1.0
251,170,1.0
254,172,1.0
255,174,1.0
256,4854,1.0
258,4867,1.0
259,177,1.0
260,179,1.0
261,178,1.0
263,176,1.0
264,182,1.0
266,4884,1.0
266,181,1.0
268,188,1.0
269,184,1.0
270,187,1.0
271,4946,1.0
272,190,1.0
273,4953,1.0
274,4967,1.0
274,4954,1.0
274,191,1.0
275,5002,1.0
277,5070,1.0
279,5004,1.0
280,5071,1.0
282,5073,1.0
283,196,1.0
283,5003,1.0
284,5005,1.0
284,5007,1.0
285,5006,1.0
285,5075,1.0
286,5014,1.0
287,199,1.0
288,5006,1.0
288,5075,1.0
289,5075,1.0
290,199,1.0
291,199,1.0
292,200,1.0
294,201,1.0
295,198,1.0
297,5080,1.0
298,203,1.0
299,5008,1.0
300,5008,1.0
301,205,1.0
304,5081,1.0
305,5079,1.0
307,5082,1.0
307,5011,1.0
307,5083,1.0
309,5014,1.0
310,5013,1.0
312,5084,1.0
313,5012,1.0
318,202,1.0
320,5010,1.0
321,5010,1.0
322,214,1.0
322,5017,1.0
323,5087,1.0
324,215,1.0
326,5175,1.0
327,5088,1.0
329,5023,1.0
330,5171,1.0
