node_idx,hit_id
0,27
1,62
2,97
2,78
3,172
4,174
5,303
5,340
6,306
7,381
7,350
8,424
9,489
10,491
11,505
11,531
12,593
13,827
14,918
15,920
16,954
17,1069
17,1052
18,1086
18,1047
19,1111
19,1098
20,1151
21,1162
22,1190
23,1265
23,1298
24,1282
25,1384
26,1475
27,1548
28,1647
29,1660
30,2053
31,1777
32,1803
33,1832
34,1877
35,2492
36,2061
37,2184
38,2473
38,2441
39,2573
39,2570
40,2678
41,2741
41,2726
42,2760
43,2778
43,2704
44,2792
45,2834
46,2835
47,2847
48,2865
49,2905
50,3016
51,3040
51,2969
52,3130
53,3136
53,3125
54,3204
55,3258
55,3272
56,3426
57,3456
57,3509
58,3473
59,3487
60,3532
61,3588
62,3659
63,3799
63,3752
64,3812
65,3906
66,3945
67,3964
68,4064
69,4099
70,4228
70,4175
71,4233
71,4194
72,4288
72,4216
73,4306
74,4420
75,4432
75,4472
76,4492
77,4601
77,4580
78,4639
78,4590
79,4657
80,4724
81,4786
81,4861
82,4789
83,4829
84,4880
85,4936
86,4951
87,5008
88,5094
88,5152
89,5108
89,5162
90,5118
91,5160
91,5087
92,5248
93,5269
94,5366
95,5423
96,5620
96,5570
97,5621
98,5629
99,5679
100,5680
101,5696
101,5650
102,5733
103,5808
104,5821
104,5912
105,5868
106,5956
107,5960
107,5913
108,6138
108,6077
109,6201
110,6216
110,6307
111,6237
112,6249
113,7037
114,7040
115,7045
115,6995
116,7658
116,7609
117,7661
118,6436
119,6547
119,6578
120,6572
120,6642
121,6597
121,6555
122,6794
123,6817
123,6780
124,6876
124,6852
125,6963
126,7074
127,7220
128,7293
128,7201
129,7301
130,7324
131,7350
132,7613
132,7660
133,7623
134,7644
135,7716
135,7570
135,7665
136,7762
137,7792
137,7802
138,7922
138,7915
139,8035
139,8170
139,8122
140,8220
141,8144
142,8351
143,8207
144,8226
145,8235
145,8334
146,8237
147,8279
148,8314
149,8421
150,8430
151,8437
151,8494
152,8996
152,8936
153,8524
153,8483
154,8567
154,8598
155,8652
155,8719
156,9613
156,9531
157,8862
157,8876
158,8878
159,8904
160,8923
161,9826
162,9127
163,9145
164,9392
164,9343
165,9484
165,9548
166,9493
167,9630
167,9634
168,9713
169,9768
169,9840
170,9827
171,9852
171,9839
172,9940
172,10023
173,9978
173,10043
174,10030
175,10052
176,10081
176,10185
177,10121
178,10139
179,10219
179,10126
180,10258
181,10303
182,10316
183,10318
184,10472
185,10484
186,10522
186,10439
187,10523
187,10419
188,10534
189,10592
189,10460
189,10500
190,10628
190,10702
191,10670
192,10672
193,10739
193,10810
194,10764
195,10922
195,11092
195,11033
196,11038
197,11042
198,11055
199,11063
200,11129
201,11133
202,11362
203,11154
204,11166
205,11183
206,11192
207,11208
207,11251
208,11225
209,11240
209,11175
209,11077
210,11280
210,11351
211,11660
212,11365
213,11427
213,11369
214,11429
215,11441
216,11539
216,11625
217,11565
217,11485
218,11667
219,11670
220,11737
221,11739
222,11769
223,11806
223,11853
224,11816
225,11833
226,11890
226,11797
227,13309
227,13325
228,13311
229,11929
230,11989
231,12040
231,12104
232,12058
233,13250
233,13345
234,12081
235,12113
235,12126
236,12116
237,12125
238,12129
239,12328
240,12493
240,12612
241,12540
241,12470
242,12543
243,12544
244,12547
245,12571
246,12597
246,12523
247,12622
248,12655
249,12750
250,12778
251,12810
251,12764
252,12883
253,12952
254,12964
254,12847
254,12910
255,13002
255,12911
256,13020
257,13028
257,13116
258,13032
258,13126
259,13043
260,13106
260,13150
261,13129
262,13142
262,13120
263,13214
263,13044
264,13236
264,13192
265,13299
266,13300
267,13316
268,13448
268,13567
269,13461
270,13465
270,13528
271,13640
272,13682
272,13760
273,13705
274,13706
274,13711
275,13907
275,13926
276,13908
276,16873
277,13916
278,13920
279,13927
280,13934
281,14000
282,14006
283,14089
283,14001
284,14097
285,14099
286,14350
287,14102
288,14103
289,14105
290,14106
291,14107
292,14137
293,14435
294,14175
295,14178
295,14110
296,14181
297,14193
297,14266
298,14195
299,14196
300,14201
301,14265
302,14267
303,14269
304,14277
305,14283
306,14284
307,14349
308,14352
309,14357
310,14359
311,14360
311,14268
312,14361
313,14362
314,14364
315,14373
315,14428
316,14424
317,14429
318,14430
318,14372
319,14431
320,14497
321,14499
322,14502
323,14503
324,14508
325,14512
326,14514
327,14571
328,15535
328,15466
329,14634
330,15145
331,15146
332,14643
333,14644
333,14639
334,15454
335,15455
336,15456
337,14648
338,14687
339,14713
340,14715
341,14718
342,14723
343,14726
343,14714
344,14727
345,14736
