node_idx,layer_id,x,y,z
0,7002,-55.2492,0.620091,-1500
1,7002,-96.1091,-8.24103,-1502.5
2,7002,-62.5736,-9.3696,-1500.25
3,7002,-57.0687,-8.17777,-1502.5
4,7002,-63.7663,-10.8542,-1500.25
5,7002,-97.2548,-10.8891,-1502.5
6,7002,-90.2929,-3.26937,-1502.5
7,7002,-72.4121,2.62353,-1500
8,7002,-63.5012,-1.86299,-1502.5
9,7002,-63.327,-3.26866,-1500
10,7002,-57.3119,-5.08732,-1502.5
11,7002,-97.2557,-6.57587,-1502.5
12,7002,-79.9994,-7.17379,-1502.5
13,7002,-68.0387,-9.29505,-1500.25
14,7002,-129.148,-3.79354,-1502
15,7002,-153.202,-12.6639,-1502
16,7002,-136.492,-9.08835,-1502
17,7002,-150.699,-10.1456,-1502
18,7002,-174.038,-2.01485,-1502
19,7002,-104.102,-15.9795,-1500
20,7002,-143.559,-16.1636,-1498
21,7002,-104.363,-13.7755,-1498
22,7002,-115.442,-14.9676,-1498
23,7002,-110.025,-21.2115,-1500
24,7002,-79.3203,-17.989,-1498
25,7002,-87.6197,-17.1534,-1498
26,7002,-85.6386,-16.1345,-1498
27,7002,-77.468,-17.2358,-1498
28,7002,-56.9143,-8.18761,-1498
29,7002,-62.8231,-15.211,-1498
30,7002,-68.68,-17.4913,-1498
31,7002,-86.0223,-25.0119,-1498
32,7002,-151.273,-30.1087,-1502
33,7002,-153.128,-32.9079,-1502
34,7002,-93.9134,-48.377,-1500
35,7002,-143.974,-29.933,-1502
36,7002,-103.805,-24.5946,-1502
37,7002,-65.4095,-26.0923,-1502
38,7002,-77.8816,-32.3408,-1502
39,7002,-85.8023,-45.6716,-1497.5
40,7002,-72.8297,-27.434,-1502
41,7002,-80.2594,-37.7635,-1502
42,7002,-83.2417,-28.4539,-1500
43,7002,-70.8806,-31.5515,-1502
44,7002,-50.9167,-28.8064,-1499.75
45,7002,-75.3879,-32.282,-1502
46,7002,-77.3499,-25.4848,-1500
47,7002,-62.6033,-24.9299,-1502
48,7002,-57.7177,-32.756,-1502
49,7002,-59.7462,-24.9912,-1502
50,7002,-90.9964,-33.5518,-1502
51,7002,-67.6861,-37.0383,-1499.75
52,7002,-85.7707,-42.4276,-1502
53,7002,-101.029,-33.9935,-1498
54,7002,-108.425,-28.9941,-1500
55,7002,-155.642,-47.2353,-1498
56,7002,-116.266,-30.6011,-1500
57,7002,-127.51,-43.7126,-1498
58,7002,-119.423,-37.9437,-1498
59,7002,-141.865,-51.6879,-1498
60,7002,-149.351,-54.1444,-1498
61,7002,-121.717,-84.7419,-1502
62,7002,-112.133,-30.4923,-1500
63,7002,-99.7878,-40.7857,-1500
64,7002,-157.843,-67.3169,-1502
65,7002,-133.848,-54.536,-1502
66,7002,-102.131,-47.8553,-1500
67,7002,-134.643,-53.5124,-1500
68,7002,-135.116,-59.7416,-1502
69,7002,-134.891,-66.2074,-1500
70,7002,-115.053,-48.6418,-1502
71,7002,-148.006,-69.4775,-1502
72,7002,-70.1278,-35.9737,-1499.75
73,7002,-50.2688,-37.7735,-1500
74,7002,-62.5516,-43.0727,-1500
75,7002,-84.4661,-88.1077,-1502
76,7002,-79.7668,-57.5667,-1500
77,7002,-62.1656,-36.0134,-1497.5
78,7002,-66.7426,-34.4752,-1499.75
79,7002,-22.9314,-50.2401,-1499.75
80,7002,-60.4187,-38.2268,-1497.5
81,7002,-74.8133,-42.1806,-1497.5
82,7002,-29.9283,-78.0676,-1497.5
83,7002,-47.9785,-35.365,-1500
84,7002,-39.2058,-42.8134,-1500.25
85,7002,-71.2588,-45.3973,-1497.5
86,7002,-57.5454,-32.5957,-1497.5
87,7002,-75.4575,-47.9117,-1497.5
88,7002,-84.4901,-51.0426,-1497.5
89,7002,-63.1787,-46.31,-1497.5
90,7002,-120.101,-70.9878,-1498
91,7002,-135.656,-68.5454,-1500
92,7002,-96.5132,-52.0691,-1498
93,7002,-131.564,-63.7676,-1500
94,7002,-99.4492,-52.4198,-1500
95,7002,-107.138,-62.0084,-1498
96,7002,-114.918,-62.6066,-1498
97,7002,-127.576,-70.63,-1498
98,7002,-123.368,-78.1031,-1500
99,7002,-150.898,-83.1625,-1498
100,7002,-50.8749,-101.794,-1500
101,7002,-87.0591,-64.4809,-1500
102,7002,-92.6756,-71.2933,-1500
