,node_idx,hit_id,particle_id,volume_id,layer_id,module_id,nhits,endcap_volume7_binary,nhits_endcap_volume7,num_distinct_layers_endcap
0,0,27,801644925560029184,7,2,2,11.0,1,5,4.0
1,1,62,396317454403371008,7,2,6,14.0,1,8,4.0
2,2,97,909728499118374912,7,2,8,15.0,1,2,1.0
3,2,78,909728499118374912,7,2,7,15.0,1,2,1.0
4,3,172,355784439281745920,7,2,13,10.0,1,7,7.0
5,4,174,63053830757023744,7,2,13,11.0,1,8,6.0
6,5,303,180146458995982336,7,2,24,12.0,1,10,6.0
7,5,340,180146458995982336,7,2,26,12.0,1,10,6.0
8,6,306,671040948683145216,7,2,24,10.0,1,1,1.0
9,7,381,657528775411499008,7,2,29,15.0,1,10,6.0
10,7,350,657528775411499008,7,2,27,15.0,1,10,6.0
11,8,424,445866945909096448,7,2,32,8.0,1,1,1.0
12,9,489,797138645873065984,7,2,37,12.0,1,7,6.0
13,10,491,860188559619915776,7,2,37,10.0,1,7,6.0
14,11,505,639532106527014912,7,2,38,11.0,1,2,1.0
15,11,531,639532106527014912,7,2,40,11.0,1,2,1.0
16,12,593,337777393756274688,7,2,45,11.0,1,9,7.0
17,13,827,301748184420450304,7,2,64,13.0,1,11,6.0
18,14,918,301754369173356544,7,2,70,11.0,1,8,6.0
19,15,920,671041361000005632,7,2,70,18.0,1,1,2.0
20,16,954,743106033144037376,7,2,72,12.0,1,1,1.0
21,17,1069,801641214708285440,7,2,81,12.0,1,9,6.0
22,17,1052,801641214708285440,7,2,80,12.0,1,9,6.0
23,18,1086,238690848970113024,7,2,82,15.0,1,8,4.0
24,18,1047,238690848970113024,7,2,79,15.0,1,8,4.0
25,19,1111,671048095508725760,7,2,84,11.0,1,9,6.0
26,19,1098,671048095508725760,7,2,83,11.0,1,9,6.0
27,20,1151,954765320025800704,7,2,86,11.0,1,8,6.0
28,21,1162,103586571000741888,7,2,87,13.0,1,2,2.0
29,22,1190,292735350168616960,7,2,89,10.0,1,6,5.0
30,23,1265,292758577351753728,7,2,93,12.0,1,10,5.0
31,23,1298,292758577351753728,7,2,96,12.0,1,10,5.0
32,24,1282,337776431683600384,7,2,95,13.0,1,10,6.0
33,25,1384,202663357621207040,7,2,103,13.0,1,9,6.0
34,26,1475,801644925560029184,7,4,2,11.0,1,5,4.0
35,27,1548,396317454403371008,7,4,6,14.0,1,8,4.0
36,28,1647,63053830757023744,7,4,12,11.0,1,8,6.0
37,29,1660,355784439281745920,7,4,13,10.0,1,7,7.0
38,30,2053,860188559619915776,7,4,37,10.0,1,7,6.0
39,31,1777,27031836966256640,7,4,22,12.0,1,1,1.0
40,32,1803,180146458995982336,7,4,23,12.0,1,10,6.0
41,33,1832,4527445285797888,7,4,24,12.0,1,1,1.0
42,34,1877,657528775411499008,7,4,27,15.0,1,10,6.0
43,35,2492,9008230046892032,7,4,65,11.0,1,8,6.0
44,36,2061,797138645873065984,7,4,37,12.0,1,7,6.0
45,37,2184,337777393756274688,7,4,45,11.0,1,9,7.0
46,38,2473,301748184420450304,7,4,64,13.0,1,11,6.0
47,38,2441,301748184420450304,7,4,62,13.0,1,11,6.0
48,39,2573,301754369173356544,7,4,70,11.0,1,8,6.0
49,39,2570,301754369173356544,7,4,69,11.0,1,8,6.0
50,40,2678,671047889350295552,7,4,77,11.0,1,7,4.0
51,41,2741,801641214708285440,7,4,81,12.0,1,9,6.0
52,41,2726,801641214708285440,7,4,80,12.0,1,9,6.0
53,42,2760,671048095508725760,7,4,82,11.0,1,9,6.0
54,43,2778,238690848970113024,7,4,82,15.0,1,8,4.0
55,43,2704,238690848970113024,7,4,79,15.0,1,8,4.0
56,44,2792,180145222045401088,7,4,83,14.0,1,4,5.0
57,45,2834,103586571000741888,7,4,85,13.0,1,2,2.0
58,46,2835,954765320025800704,7,4,85,11.0,1,8,6.0
59,47,2847,864707414971121664,7,4,86,16.0,1,1,1.0
60,48,2865,292735350168616960,7,4,87,10.0,1,6,5.0
61,49,2905,396316904647557120,7,4,89,10.0,1,2,3.0
62,50,3016,337776431683600384,7,4,95,13.0,1,10,6.0
63,51,3040,292758577351753728,7,4,96,12.0,1,10,5.0
64,51,2969,292758577351753728,7,4,93,12.0,1,10,5.0
65,52,3130,864707277532168192,7,4,102,10.0,1,4,3.0
66,53,3136,202663357621207040,7,4,103,13.0,1,9,6.0
67,53,3125,202663357621207040,7,4,102,13.0,1,9,6.0
68,54,3204,445866189994852352,7,4,107,11.0,1,5,5.0
69,55,3258,801644925560029184,7,6,2,11.0,1,5,4.0
70,55,3272,801644925560029184,7,6,3,11.0,1,5,4.0
71,56,3426,734096909743947776,7,6,10,13.0,1,3,4.0
72,57,3456,747603516737978368,7,6,12,13.0,1,8,4.0
73,57,3509,747603516737978368,7,6,14,13.0,1,8,4.0
74,58,3473,63053830757023744,7,6,12,11.0,1,8,6.0
75,59,3487,355784439281745920,7,6,13,10.0,1,7,7.0
76,60,3532,716072684349292544,7,6,15,11.0,1,4,4.0
77,61,3588,657533791933300736,7,6,19,6.0,1,2,2.0
78,62,3659,180146458995982336,7,6,23,12.0,1,10,6.0
79,63,3799,657528775411499008,7,6,29,15.0,1,10,6.0
80,63,3752,657528775411499008,7,6,27,15.0,1,10,6.0
81,64,3812,788135982103789568,7,6,30,12.0,1,4,3.0
82,65,3906,860188765778345984,7,6,35,11.0,1,5,4.0
83,66,3945,860188559619915776,7,6,36,10.0,1,7,6.0
84,67,3964,797138645873065984,7,6,37,12.0,1,7,6.0
85,68,4064,153129190558793728,7,6,43,12.0,1,1,4.0
86,69,4099,337777393756274688,7,6,45,11.0,1,9,7.0
87,70,4228,837674272334807040,7,6,52,14.0,1,4,2.0
88,70,4175,837674272334807040,7,6,50,14.0,1,4,2.0
89,71,4233,103595435813240832,7,6,52,13.0,1,2,1.0
90,71,4194,103595435813240832,7,6,50,13.0,1,2,1.0
91,72,4288,445859867802992640,7,6,55,12.0,1,6,3.0
92,72,4216,445859867802992640,7,6,52,12.0,1,6,3.0
93,73,4306,783626610040373248,7,6,56,14.0,1,1,1.0
94,74,4420,801641008549855232,7,6,61,11.0,1,4,4.0
95,75,4432,301748184420450304,7,6,62,13.0,1,11,6.0
96,75,4472,301748184420450304,7,6,64,13.0,1,11,6.0
97,76,4492,9008230046892032,7,6,65,11.0,1,8,6.0
98,77,4601,301754369173356544,7,6,70,11.0,1,8,6.0
99,77,4580,301754369173356544,7,6,69,11.0,1,8,6.0
100,78,4639,40535007986450432,7,6,72,10.0,1,2,1.0
101,78,4590,40535007986450432,7,6,70,10.0,1,2,1.0
102,79,4657,734091687063715840,7,6,73,12.0,1,6,7.0
103,80,4724,671047889350295552,7,6,77,11.0,1,7,4.0
104,81,4786,238690848970113024,7,6,79,15.0,1,8,4.0
105,81,4861,238690848970113024,7,6,82,15.0,1,8,4.0
106,82,4789,801641214708285440,7,6,79,12.0,1,9,6.0
107,83,4829,671048095508725760,7,6,82,11.0,1,9,6.0
108,84,4880,180145222045401088,7,6,83,14.0,1,4,5.0
109,85,4936,954765320025800704,7,6,85,11.0,1,8,6.0
110,86,4951,292735350168616960,7,6,87,10.0,1,6,5.0
111,87,5008,396316904647557120,7,6,89,10.0,1,2,3.0
112,88,5094,117094414945353728,7,6,93,13.0,1,8,3.0
113,88,5152,117094414945353728,7,6,96,13.0,1,8,3.0
114,89,5108,337776431683600384,7,6,93,13.0,1,10,6.0
115,89,5162,337776431683600384,7,6,96,13.0,1,10,6.0
116,90,5118,63050600941617152,7,6,94,10.0,1,5,7.0
117,91,5160,292758577351753728,7,6,96,12.0,1,10,5.0
118,91,5087,292758577351753728,7,6,93,12.0,1,10,5.0
119,92,5248,202663357621207040,7,6,101,13.0,1,9,6.0
120,93,5269,864707277532168192,7,6,102,10.0,1,4,3.0
121,94,5366,445866189994852352,7,6,107,11.0,1,5,5.0
122,95,5423,801644925560029184,7,8,1,11.0,1,5,4.0
123,96,5620,734096909743947776,7,8,10,13.0,1,3,4.0
124,96,5570,734096909743947776,7,8,8,13.0,1,3,4.0
125,97,5621,671072628361920512,7,8,10,12.0,1,4,4.0
126,98,5629,734097115902377984,7,8,10,11.0,1,4,7.0
127,99,5679,355784439281745920,7,8,12,10.0,1,7,7.0
128,100,5680,63053830757023744,7,8,12,11.0,1,8,6.0
129,101,5696,747603516737978368,7,8,14,13.0,1,8,4.0
130,101,5650,747603516737978368,7,8,12,13.0,1,8,4.0
131,102,5733,716072684349292544,7,8,15,11.0,1,4,4.0
132,103,5808,657533791933300736,7,8,19,6.0,1,2,2.0
133,104,5821,801651797507702784,7,8,20,14.0,1,4,2.0
134,104,5912,801651797507702784,7,8,23,14.0,1,4,2.0
135,105,5868,94576897844838400,7,8,22,13.0,1,1,1.0
136,106,5956,657528775411499008,7,8,25,15.0,1,10,6.0
137,107,5960,180146458995982336,7,8,25,12.0,1,10,6.0
138,107,5913,180146458995982336,7,8,23,12.0,1,10,6.0
139,108,6138,788135982103789568,7,8,32,12.0,1,4,3.0
140,108,6077,788135982103789568,7,8,30,12.0,1,4,3.0
141,109,6201,860188765778345984,7,8,35,11.0,1,5,4.0
142,110,6216,63076783062253568,7,8,36,13.0,1,4,2.0
143,110,6307,63076783062253568,7,8,39,13.0,1,4,2.0
144,111,6237,860188559619915776,7,8,36,10.0,1,7,6.0
145,112,6249,797138645873065984,7,8,36,12.0,1,7,6.0
146,113,7037,27032043124686848,7,8,72,14.0,1,1,1.0
147,114,7040,644016533420376064,7,8,72,14.0,1,1,1.0
148,115,7045,693564994133950464,7,8,72,13.0,1,4,2.0
149,115,6995,693564994133950464,7,8,70,13.0,1,4,2.0
150,116,7658,337776431683600384,7,8,96,13.0,1,10,6.0
151,116,7609,337776431683600384,7,8,93,13.0,1,10,6.0
152,117,7661,864699580950773760,7,8,96,6.0,1,4,3.0
153,118,6436,337777393756274688,7,8,45,11.0,1,9,7.0
154,119,6547,837674272334807040,7,8,50,14.0,1,4,2.0
155,119,6578,837674272334807040,7,8,52,14.0,1,4,2.0
156,120,6572,445859867802992640,7,8,52,12.0,1,6,3.0
157,120,6642,445859867802992640,7,8,55,12.0,1,6,3.0
158,121,6597,454866379862966272,7,8,52,12.0,1,2,1.0
159,121,6555,454866379862966272,7,8,50,12.0,1,2,1.0
160,122,6794,801641008549855232,7,8,61,11.0,1,4,4.0
161,123,6817,301748184420450304,7,8,63,13.0,1,11,6.0
162,123,6780,301748184420450304,7,8,60,13.0,1,11,6.0
163,124,6876,9008230046892032,7,8,65,11.0,1,8,6.0
164,124,6852,9008230046892032,7,8,64,11.0,1,8,6.0
165,125,6963,301754369173356544,7,8,68,11.0,1,8,6.0
166,126,7074,734091687063715840,7,8,73,12.0,1,6,7.0
167,127,7220,801641214708285440,7,8,79,12.0,1,9,6.0
168,128,7293,238690848970113024,7,8,82,15.0,1,8,4.0
169,128,7201,238690848970113024,7,8,79,15.0,1,8,4.0
170,129,7301,671048095508725760,7,8,82,11.0,1,9,6.0
171,130,7324,180145015886970880,7,8,83,14.0,1,5,7.0
172,131,7350,954765320025800704,7,8,85,11.0,1,8,6.0
