,node_idx,hit_id,particle_id,volume_id,layer_id,module_id,nhits,endcap_volume7_binary,nhits_endcap_volume7,num_distinct_layers_endcap
0,0,2,22525763437723648,7,2,1,10.0,1,9,4.0
1,0,1420,22525763437723648,7,2,106,10.0,1,9,4.0
2,1,4,297237712845406208,7,2,1,11.0,1,9,6.0
3,2,5,418835796137607168,7,2,1,10.0,1,8,4.0
4,2,38,418835796137607168,7,2,4,10.0,1,8,4.0
5,3,6,108087696726949888,7,2,1,11.0,1,8,4.0
6,4,8,954766419537428480,7,2,1,10.0,1,8,4.0
7,4,48,954766419537428480,7,2,4,10.0,1,8,4.0
8,5,9,707072769359085568,7,2,1,11.0,1,8,6.0
9,6,10,67554956483231744,7,2,1,14.0,1,11,6.0
10,7,13,63061596057894912,7,2,1,13.0,1,10,5.0
11,7,1426,63061596057894912,7,2,106,13.0,1,10,5.0
12,8,14,707068508751527936,7,2,1,11.0,1,8,4.0
13,9,15,63064276117487616,7,2,1,13.0,1,10,4.0
14,9,1427,63064276117487616,7,2,106,13.0,1,10,4.0
15,10,16,67554612885848064,7,2,1,13.0,1,10,4.0
16,11,17,824159968759382016,7,2,1,11.0,1,8,6.0
17,12,18,103584646855393280,7,2,1,15.0,1,12,6.0
18,13,21,616995416692490240,7,2,1,13.0,1,11,5.0
19,13,45,616995416692490240,7,2,4,13.0,1,11,5.0
20,14,24,819655956815151104,7,2,2,14.0,1,11,6.0
21,15,25,418837307966095360,7,2,2,12.0,1,10,7.0
22,16,26,761110055012532224,7,2,2,12.0,1,9,6.0
23,17,27,801644925560029184,7,2,2,11.0,1,7,6.0
24,18,28,211690073207341056,7,2,2,15.0,1,11,7.0
25,19,29,139619285029879808,7,2,3,12.0,1,9,6.0
26,19,54,139619285029879808,7,2,5,12.0,1,9,6.0
27,20,30,225187609230442496,7,2,3,11.0,1,8,6.0
28,21,32,873702863195340800,7,2,3,12.0,1,10,6.0
29,22,33,873724303672082432,7,2,3,10.0,1,7,6.0
30,23,34,445865090483224576,7,2,3,12.0,1,11,6.0
31,23,50,445865090483224576,7,2,5,12.0,1,11,6.0
32,24,35,657538052540858368,7,2,4,11.0,1,9,6.0
33,25,36,801651522629795840,7,2,4,12.0,1,10,6.0
34,26,39,139619216310403072,7,2,4,14.0,1,11,6.0
35,27,42,873704581182259200,7,2,4,14.0,1,11,6.0
36,28,43,108087696726949888,7,2,4,11.0,1,8,4.0
37,29,44,238694559821856768,7,2,4,14.0,1,12,5.0
38,30,46,860196324920786944,7,2,4,13.0,1,10,5.0
39,31,47,157629835248664576,7,2,4,13.0,1,10,6.0
40,32,51,103589732096671744,7,2,5,10.0,1,7,7.0
41,33,53,927744615614775296,7,2,5,13.0,1,10,7.0
42,34,89,225183829659222016,7,2,8,14.0,1,12,6.0
43,34,124,225183829659222016,7,2,10,14.0,1,12,6.0
44,35,56,616995347973013504,7,2,5,13.0,1,8,6.0
45,36,59,63068055688708096,7,2,5,11.0,1,8,6.0
46,37,60,932245878779936768,7,2,6,14.0,1,11,5.0
47,38,62,396317454403371008,7,2,6,14.0,1,11,6.0
48,39,107,878209761357594624,7,2,9,12.0,1,9,6.0
49,40,63,67555162641661952,7,2,6,15.0,1,12,6.0
50,41,64,63068124408184832,7,2,6,14.0,1,11,6.0
51,42,65,27031974405210112,7,2,6,14.0,1,12,6.0
52,42,41,27031974405210112,7,2,4,14.0,1,12,6.0
53,43,66,184651982768701440,7,2,6,15.0,1,12,6.0
54,44,67,707069195946295296,7,2,6,13.0,1,10,4.0
55,44,115,707069195946295296,7,2,9,13.0,1,10,4.0
56,45,68,18017078569074688,7,2,6,13.0,1,10,6.0
57,46,69,810658172128722944,7,2,6,17.0,1,14,6.0
