node_idx,hit_id,particle_id,volume_id,layer_id,module_id,nhits,endcap_volume7_binary,nhits_endcap_volume7
0,2,22525763437723648,7,2,1,10.0,1,9
0,1420,22525763437723648,7,2,106,10.0,1,9
1,4,297237712845406208,7,2,1,11.0,1,9
2,5,418835796137607168,7,2,1,10.0,1,8
2,38,418835796137607168,7,2,4,10.0,1,8
3,6,108087696726949888,7,2,1,11.0,1,8
4,8,954766419537428480,7,2,1,10.0,1,8
4,48,954766419537428480,7,2,4,10.0,1,8
5,9,707072769359085568,7,2,1,11.0,1,8
6,10,67554956483231744,7,2,1,14.0,1,11
7,13,63061596057894912,7,2,1,13.0,1,10
7,1426,63061596057894912,7,2,106,13.0,1,10
8,14,707068508751527936,7,2,1,11.0,1,8
9,15,63064276117487616,7,2,1,13.0,1,10
9,1427,63064276117487616,7,2,106,13.0,1,10
10,16,67554612885848064,7,2,1,13.0,1,10
11,17,824159968759382016,7,2,1,11.0,1,8
12,18,103584646855393280,7,2,1,15.0,1,12
13,21,616995416692490240,7,2,1,13.0,1,11
13,45,616995416692490240,7,2,4,13.0,1,11
14,24,819655956815151104,7,2,2,14.0,1,11
15,25,418837307966095360,7,2,2,12.0,1,10
16,26,761110055012532224,7,2,2,12.0,1,9
17,27,801644925560029184,7,2,2,11.0,1,7
18,28,211690073207341056,7,2,2,15.0,1,11
19,29,139619285029879808,7,2,3,12.0,1,9
19,54,139619285029879808,7,2,5,12.0,1,9
20,30,225187609230442496,7,2,3,11.0,1,8
21,32,873702863195340800,7,2,3,12.0,1,10
22,33,873724303672082432,7,2,3,10.0,1,7
23,34,445865090483224576,7,2,3,12.0,1,11
23,50,445865090483224576,7,2,5,12.0,1,11
24,35,657538052540858368,7,2,4,11.0,1,9
25,36,801651522629795840,7,2,4,12.0,1,10
26,39,139619216310403072,7,2,4,14.0,1,11
27,42,873704581182259200,7,2,4,14.0,1,11
28,43,108087696726949888,7,2,4,11.0,1,8
29,44,238694559821856768,7,2,4,14.0,1,12
30,46,860196324920786944,7,2,4,13.0,1,10
31,47,157629835248664576,7,2,4,13.0,1,10
32,51,103589732096671744,7,2,5,10.0,1,7
33,53,927744615614775296,7,2,5,13.0,1,10
34,89,225183829659222016,7,2,8,14.0,1,12
34,124,225183829659222016,7,2,10,14.0,1,12
35,56,616995347973013504,7,2,5,13.0,1,8
36,59,63068055688708096,7,2,5,11.0,1,8
37,60,932245878779936768,7,2,6,14.0,1,11
38,62,396317454403371008,7,2,6,14.0,1,11
39,107,878209761357594624,7,2,9,12.0,1,9
40,63,67555162641661952,7,2,6,15.0,1,12
41,64,63068124408184832,7,2,6,14.0,1,11
42,65,27031974405210112,7,2,6,14.0,1,12
42,41,27031974405210112,7,2,4,14.0,1,12
43,66,184651982768701440,7,2,6,15.0,1,12
44,67,707069195946295296,7,2,6,13.0,1,10
44,115,707069195946295296,7,2,9,13.0,1,10
45,68,18017078569074688,7,2,6,13.0,1,10
46,69,810658172128722944,7,2,6,17.0,1,14
46,40,810658172128722944,7,2,4,17.0,1,14
47,71,801649667203923968,7,2,6,14.0,1,11
48,72,153138742566060032,7,2,6,13.0,1,10
49,73,63059946790453248,7,2,6,12.0,1,11
50,74,63055754902372352,7,2,6,11.0,1,9
51,75,220681604421386240,7,2,6,17.0,1,14
51,118,220681604421386240,7,2,9,17.0,1,14
52,76,495397814436626432,7,2,6,13.0,1,11
53,77,526921637438685184,7,2,7,11.0,1,9
54,79,495403861750579200,7,2,7,11.0,1,8
54,57,495403861750579200,7,2,5,11.0,1,8
55,80,229685436421767168,7,2,7,14.0,1,10
56,82,671041292280528896,7,2,7,11.0,1,9
56,52,671041292280528896,7,2,5,11.0,1,9
57,83,94579303026524160,7,2,7,13.0,1,10
58,84,112599336533098496,7,2,7,10.0,1,7
59,85,734096841024471040,7,2,7,13.0,1,10
60,86,855686265662603264,7,2,7,12.0,1,8
61,138,657543481379520512,7,2,11,12.0,1,7
62,87,549440803806642176,7,2,7,10.0,1,8
62,58,549440803806642176,7,2,5,10.0,1,8
63,88,734105568398016512,7,2,7,12.0,1,10
63,101,734105568398016512,7,2,8,12.0,1,10
64,90,860191583276892160,7,2,8,16.0,1,11
65,93,801645062998982656,7,2,8,13.0,1,9
66,95,707069333385248768,7,2,8,13.0,1,11
66,126,707069333385248768,7,2,10,13.0,1,11
67,97,909728499118374912,7,2,8,15.0,1,12
67,78,909728499118374912,7,2,7,15.0,1,12
68,98,396317316964417536,7,2,8,11.0,1,7
69,99,157627911103315968,7,2,8,16.0,1,12
69,128,157627911103315968,7,2,10,16.0,1,12
70,100,153123349403271168,7,2,8,10.0,1,7
71,103,657534066811207680,7,2,8,16.0,1,13
72,104,558454600131149824,7,2,9,16.0,1,13
72,61,558454600131149824,7,2,6,16.0,1,13
73,105,418835727418130432,7,2,9,11.0,1,8
73,163,418835727418130432,7,2,12,11.0,1,8
74,106,324262059388698624,7,2,9,17.0,1,14
74,155,324262059388698624,7,2,12,17.0,1,14
75,198,153123280683794432,7,2,15,13.0,1,11
76,108,292738373825593344,7,2,9,14.0,1,12
76,150,292738373825593344,7,2,12,14.0,1,12
77,109,968279005125935104,7,2,9,13.0,1,10
78,110,337777256317321216,7,2,9,14.0,1,12
78,70,337777256317321216,7,2,6,14.0,1,12
79,252,171138435107520512,7,2,20,11.0,1,10
79,225,171138435107520512,7,2,17,11.0,1,10
80,113,671056548004364288,7,2,9,12.0,1,9
81,114,779123010413002752,7,2,9,15.0,1,12
82,247,499900589430276096,7,2,20,13.0,1,10
83,116,707073044236992512,7,2,9,11.0,1,8
83,165,707073044236992512,7,2,12,11.0,1,8
84,184,94577859917512704,7,2,14,12.0,1,9
84,148,94577859917512704,7,2,12,12.0,1,9
85,117,220686071187374080,7,2,9,14.0,1,11
86,119,153138742566060032,7,2,9,13.0,1,10
87,121,954766625695858688,7,2,9,13.0,1,10
88,122,90075978277060608,7,2,9,11.0,1,8
89,123,671038268623552512,7,2,9,16.0,1,13
90,125,801657844821655552,7,2,10,11.0,1,7
91,127,968291374631747584,7,2,10,15.0,1,11
91,94,968291374631747584,7,2,8,15.0,1,11
92,129,707072975517515776,7,2,10,12.0,1,10
93,130,418835864857083904,7,2,10,10.0,1,8
93,91,418835864857083904,7,2,8,10.0,1,8
94,131,166645212121137152,7,2,10,15.0,1,12
94,102,166645212121137152,7,2,8,15.0,1,12
95,132,693555373407207424,7,2,10,10.0,1,7
96,133,752103268074651648,7,2,10,10.0,1,7
97,134,968285258598318080,7,2,10,14.0,1,9
98,135,432346938617102336,7,2,10,13.0,1,11
98,144,432346938617102336,7,2,11,13.0,1,11
99,136,99081184666976256,7,2,10,12.0,1,8
100,241,450361062248677376,7,2,19,14.0,1,12
100,264,450361062248677376,7,2,21,14.0,1,12
101,139,734105499678539776,7,2,11,13.0,1,10
101,167,734105499678539776,7,2,13,13.0,1,10
102,140,716074608494641152,7,2,11,11.0,1,9
102,166,716074608494641152,7,2,13,11.0,1,9
103,142,355786775743954944,7,2,11,11.0,1,8
104,143,63053899476500480,7,2,11,13.0,1,7
105,145,801650629276598272,7,2,11,14.0,1,9
106,146,63058366242488320,7,2,11,11.0,1,8
107,147,171138366388043776,7,2,12,13.0,1,11
108,151,671038268623552512,7,2,12,16.0,1,13
109,152,774621197492027392,7,2,12,12.0,1,10
110,154,914233885452140544,7,2,12,10.0,1,8
111,156,941263179797757952,7,2,12,15.0,1,12
112,157,837670630202540032,7,2,12,13.0,1,10
113,159,743099092476887040,7,2,12,11.0,1,8
113,181,743099092476887040,7,2,14,11.0,1,8
114,161,657530836995801088,7,2,12,13.0,1,10
115,162,373799524985995264,7,2,12,13.0,1,10
116,164,396317385683894272,7,2,12,11.0,1,8
116,111,396317385683894272,7,2,9,11.0,1,8
117,168,716074471055687680,7,2,13,10.0,1,8
118,169,671045003132272640,7,2,13,10.0,1,8
119,170,126102988589629440,7,2,13,12.0,1,10
119,199,126102988589629440,7,2,15,12.0,1,10
120,171,693555510846160896,7,2,13,12.0,1,8
120,203,693555510846160896,7,2,15,12.0,1,8
121,172,355784439281745920,7,2,13,10.0,1,7
122,173,90075222362816512,7,2,13,11.0,1,7
122,209,90075222362816512,7,2,15,11.0,1,7
123,174,63053830757023744,7,2,13,11.0,1,8
124,388,153126922816061440,7,2,30,12.0,1,9
125,389,707065553814028288,7,2,30,12.0,1,9
125,417,707065553814028288,7,2,32,12.0,1,9
126,390,0,7,2,30,0.0,1,123
127,177,968278867686981632,7,2,13,10.0,1,7
128,178,153131527021002752,7,2,13,10.0,1,8
129,179,738591507119865856,7,2,13,11.0,1,8
130,180,657530768276324352,7,2,14,12.0,1,10
