node_idx,hit_id,particle_id,module_id,nhits,endcap_volume7_binary,nhits_endcap_volume7
0,2,22525763437723648,1,10.0,1,9
0,1420,22525763437723648,106,10.0,1,9
1,4,297237712845406208,1,11.0,1,9
2,5,418835796137607168,1,10.0,1,8
2,38,418835796137607168,4,10.0,1,8
3,6,108087696726949888,1,11.0,1,8
4,8,954766419537428480,1,10.0,1,8
4,48,954766419537428480,4,10.0,1,8
5,9,707072769359085568,1,11.0,1,8
6,10,67554956483231744,1,14.0,1,11
7,13,63061596057894912,1,13.0,1,10
7,1426,63061596057894912,106,13.0,1,10
8,14,707068508751527936,1,11.0,1,8
9,15,63064276117487616,1,13.0,1,10
9,1427,63064276117487616,106,13.0,1,10
10,16,67554612885848064,1,13.0,1,10
11,17,824159968759382016,1,11.0,1,8
12,18,103584646855393280,1,15.0,1,12
13,21,616995416692490240,1,13.0,1,11
13,45,616995416692490240,4,13.0,1,11
14,24,819655956815151104,2,14.0,1,11
15,25,418837307966095360,2,12.0,1,10
16,26,761110055012532224,2,12.0,1,9
17,27,801644925560029184,2,11.0,1,7
18,28,211690073207341056,2,15.0,1,11
19,29,139619285029879808,3,12.0,1,9
19,54,139619285029879808,5,12.0,1,9
20,30,225187609230442496,3,11.0,1,8
21,32,873702863195340800,3,12.0,1,10
22,33,873724303672082432,3,10.0,1,7
23,34,445865090483224576,3,12.0,1,11
23,50,445865090483224576,5,12.0,1,11
24,35,657538052540858368,4,11.0,1,9
25,36,801651522629795840,4,12.0,1,10
26,39,139619216310403072,4,14.0,1,11
27,42,873704581182259200,4,14.0,1,11
28,43,108087696726949888,4,11.0,1,8
29,44,238694559821856768,4,14.0,1,12
30,46,860196324920786944,4,13.0,1,10
31,47,157629835248664576,4,13.0,1,10
32,51,103589732096671744,5,10.0,1,7
33,53,927744615614775296,5,13.0,1,10
34,89,225183829659222016,8,14.0,1,12
34,124,225183829659222016,10,14.0,1,12
35,56,616995347973013504,5,13.0,1,8
36,59,63068055688708096,5,11.0,1,8
37,60,932245878779936768,6,14.0,1,11
38,62,396317454403371008,6,14.0,1,11
39,107,878209761357594624,9,12.0,1,9
40,63,67555162641661952,6,15.0,1,12
41,64,63068124408184832,6,14.0,1,11
42,65,27031974405210112,6,14.0,1,12
42,41,27031974405210112,4,14.0,1,12
43,66,184651982768701440,6,15.0,1,12
44,67,707069195946295296,6,13.0,1,10
44,115,707069195946295296,9,13.0,1,10
45,68,18017078569074688,6,13.0,1,10
46,69,810658172128722944,6,17.0,1,14
46,40,810658172128722944,4,17.0,1,14
47,71,801649667203923968,6,14.0,1,11
48,72,153138742566060032,6,13.0,1,10
49,73,63059946790453248,6,12.0,1,11
50,74,63055754902372352,6,11.0,1,9
51,75,220681604421386240,6,17.0,1,14
51,118,220681604421386240,9,17.0,1,14
52,76,495397814436626432,6,13.0,1,11
53,77,526921637438685184,7,11.0,1,9
54,79,495403861750579200,7,11.0,1,8
54,57,495403861750579200,5,11.0,1,8
55,80,229685436421767168,7,14.0,1,10
56,82,671041292280528896,7,11.0,1,9
56,52,671041292280528896,5,11.0,1,9
57,83,94579303026524160,7,13.0,1,10
58,84,112599336533098496,7,10.0,1,7
59,85,734096841024471040,7,13.0,1,10
60,86,855686265662603264,7,12.0,1,8
61,138,657543481379520512,11,12.0,1,7
62,87,549440803806642176,7,10.0,1,8
62,58,549440803806642176,5,10.0,1,8
63,88,734105568398016512,7,12.0,1,10
63,101,734105568398016512,8,12.0,1,10
64,90,860191583276892160,8,16.0,1,11
65,93,801645062998982656,8,13.0,1,9
66,95,707069333385248768,8,13.0,1,11
66,126,707069333385248768,10,13.0,1,11
67,97,909728499118374912,8,15.0,1,12
67,78,909728499118374912,7,15.0,1,12
68,98,396317316964417536,8,11.0,1,7
69,99,157627911103315968,8,16.0,1,12
69,128,157627911103315968,10,16.0,1,12
70,100,153123349403271168,8,10.0,1,7
71,103,657534066811207680,8,16.0,1,13
72,104,558454600131149824,9,16.0,1,13
72,61,558454600131149824,6,16.0,1,13
73,105,418835727418130432,9,11.0,1,8
73,163,418835727418130432,12,11.0,1,8
74,106,324262059388698624,9,17.0,1,14
74,155,324262059388698624,12,17.0,1,14
75,198,153123280683794432,15,13.0,1,11
76,108,292738373825593344,9,14.0,1,12
76,150,292738373825593344,12,14.0,1,12
77,109,968279005125935104,9,13.0,1,10
78,110,337777256317321216,9,14.0,1,12
78,70,337777256317321216,6,14.0,1,12
79,252,171138435107520512,20,11.0,1,10
79,225,171138435107520512,17,11.0,1,10
80,113,671056548004364288,9,12.0,1,9
81,114,779123010413002752,9,15.0,1,12
82,247,499900589430276096,20,13.0,1,10
83,116,707073044236992512,9,11.0,1,8
83,165,707073044236992512,12,11.0,1,8
84,184,94577859917512704,14,12.0,1,9
84,148,94577859917512704,12,12.0,1,9
85,117,220686071187374080,9,14.0,1,11
86,119,153138742566060032,9,13.0,1,10
87,121,954766625695858688,9,13.0,1,10
88,122,90075978277060608,9,11.0,1,8
89,123,671038268623552512,9,16.0,1,13
90,125,801657844821655552,10,11.0,1,7
91,127,968291374631747584,10,15.0,1,11
91,94,968291374631747584,8,15.0,1,11
92,129,707072975517515776,10,12.0,1,10
93,130,418835864857083904,10,10.0,1,8
93,91,418835864857083904,8,10.0,1,8
94,131,166645212121137152,10,15.0,1,12
94,102,166645212121137152,8,15.0,1,12
95,132,693555373407207424,10,10.0,1,7
96,133,752103268074651648,10,10.0,1,7
97,134,968285258598318080,10,14.0,1,9
98,135,432346938617102336,10,13.0,1,11
98,144,432346938617102336,11,13.0,1,11
99,136,99081184666976256,10,12.0,1,8
100,241,450361062248677376,19,14.0,1,12
100,264,450361062248677376,21,14.0,1,12
101,139,734105499678539776,11,13.0,1,10
101,167,734105499678539776,13,13.0,1,10
102,140,716074608494641152,11,11.0,1,9
102,166,716074608494641152,13,11.0,1,9
103,142,355786775743954944,11,11.0,1,8
104,143,63053899476500480,11,13.0,1,7
105,145,801650629276598272,11,14.0,1,9
106,146,63058366242488320,11,11.0,1,8
107,147,171138366388043776,12,13.0,1,11
108,151,671038268623552512,12,16.0,1,13
109,152,774621197492027392,12,12.0,1,10
110,154,914233885452140544,12,10.0,1,8
111,156,941263179797757952,12,15.0,1,12
112,157,837670630202540032,12,13.0,1,10
113,159,743099092476887040,12,11.0,1,8
113,181,743099092476887040,14,11.0,1,8
114,161,657530836995801088,12,13.0,1,10
115,162,373799524985995264,12,13.0,1,10
116,164,396317385683894272,12,11.0,1,8
116,111,396317385683894272,9,11.0,1,8
117,168,716074471055687680,13,10.0,1,8
118,169,671045003132272640,13,10.0,1,8
119,170,126102988589629440,13,12.0,1,10
119,199,126102988589629440,15,12.0,1,10
120,171,693555510846160896,13,12.0,1,8
120,203,693555510846160896,15,12.0,1,8
121,172,355784439281745920,13,10.0,1,7
122,173,90075222362816512,13,11.0,1,7
122,209,90075222362816512,15,11.0,1,7
123,174,63053830757023744,13,11.0,1,8
124,388,153126922816061440,30,12.0,1,9
125,389,707065553814028288,30,12.0,1,9
125,417,707065553814028288,32,12.0,1,9
126,390,0,30,0.0,1,123
127,177,968278867686981632,13,10.0,1,7
128,178,153131527021002752,13,10.0,1,8
129,179,738591507119865856,13,11.0,1,8
130,180,657530768276324352,14,12.0,1,10
130,227,657530768276324352,17,12.0,1,10
131,182,941254108826828800,14,13.0,1,10
131,223,941254108826828800,17,13.0,1,10
132,183,261209877899116544,14,10.0,1,8
132,158,261209877899116544,12,10.0,1,8
133,185,747603516737978368,14,13.0,1,10
134,186,135108057540591616,14,14.0,1,11
135,187,211676466750947328,14,14.0,1,11
136,188,153126854096584704,14,15.0,1,12
137,189,337782685155983360,14,16.0,1,13
137,217,337782685155983360,17,16.0,1,13
138,190,707066309728272384,14,13.0,1,10
139,192,743095656503050240,14,13.0,1,10
140,193,914233885452140544,14,10.0,1,8
141,194,716072546910339072,14,12.0,1,9
142,195,707067958995714048,14,12.0,1,9
143,196,202663769938067456,14,14.0,1,11
143,160,202663769938067456,12,14.0,1,11
144,197,220680230031851520,14,13.0,1,10
144,149,220680230031851520,12,13.0,1,10
145,430,94576691686408192,33,14.0,1,11
146,431,797153214402134016,33,12.0,1,10
147,432,562954420187299840,33,14.0,1,12
148,200,337771964917612544,15,12.0,1,8
149,201,445866396153282560,15,12.0,1,8
150,384,117104447988957184,30,12.0,1,9
150,427,117104447988957184,32,12.0,1,9
151,385,418840194184118272,30,14.0,1,9
152,386,166635179077533696,30,12.0,1,9
153,204,153128572083503104,15,11.0,1,5
154,205,693554823651393536,15,9.0,1,5
155,211,225182798867070976,16,12.0,1,9
156,213,743107544972525568,16,12.0,1,10
156,207,743107544972525568,15,12.0,1,10
157,214,734121648755572736,16,15.0,1,8
157,229,734121648755572736,18,15.0,1,8
158,215,396317248244940800,16,12.0,1,8
159,216,851181360365174784,17,12.0,1,9
160,218,9008298766368768,17,13.0,1,10
161,219,873731656656093184,17,12.0,1,4
162,220,801652003666132992,17,12.0,1,9
163,221,252202197608038400,17,15.0,1,12
164,222,63058434961965056,17,15.0,1,12
165,224,270217901787578368,17,14.0,1,11
166,226,968276462505295872,17,13.0,1,10
167,228,468374567404961792,17,12.0,1,10
168,231,292755072658440192,18,14.0,1,9
169,233,851185895850639360,18,10.0,1,6
170,234,220676656619061248,18,12.0,1,10
170,238,220676656619061248,19,12.0,1,10
171,235,90076046996537344,18,12.0,1,7
172,236,864701092779261952,19,9.0,1,7
173,239,319755642262781952,19,11.0,1,7
174,240,369300254685659136,19,12.0,1,8
175,465,594476181605056512,35,13.0,1,10
175,449,594476181605056512,34,13.0,1,10
176,466,671050500690411520,35,12.0,1,9
176,490,671050500690411520,37,12.0,1,9
177,243,301759866731495424,19,13.0,1,10
178,246,954769305755451392,20,15.0,1,12
179,580,851186926642790400,44,15.0,1,12
180,248,968286083232038912,20,13.0,1,7
180,298,968286083232038912,23,13.0,1,7
181,249,851186376886976512,20,11.0,1,9
181,282,851186376886976512,23,11.0,1,9
182,250,941254040107352064,20,13.0,1,10
182,295,941254040107352064,23,13.0,1,10
183,251,693554686212440064,20,12.0,1,9
184,411,873707398680805376,31,13.0,1,10
185,412,427843820026068992,31,14.0,1,11
186,253,220695279597256704,20,15.0,1,12
187,256,905224006137806848,20,14.0,1,11
187,283,905224006137806848,23,14.0,1,11
188,257,873731587936616448,20,14.0,1,6
188,288,873731587936616448,23,14.0,1,6
189,258,860191995593752576,20,14.0,1,11
189,281,860191995593752576,23,14.0,1,11
190,259,801651591349272576,20,14.0,1,12
190,287,801651591349272576,23,14.0,1,12
191,260,117093727750586368,20,13.0,1,10
192,261,797140363859984384,20,13.0,1,10
193,262,684570164385021952,21,12.0,1,9
193,245,684570164385021952,19,12.0,1,9
194,265,454866586021396480,21,13.0,1,10
195,266,954769099597021184,21,9.0,1,6
196,267,657547054792310784,21,10.0,1,8
197,268,45043899013529600,21,9.0,1,6
198,269,454868785044652032,22,13.0,1,11
199,270,265714302160207872,22,11.0,1,8
200,271,954765594903707648,22,10.0,1,5
201,272,662035055098462208,22,8.0,1,6
202,273,63061458618941440,22,16.0,1,12
202,301,63061458618941440,24,16.0,1,12
203,274,63067986969231360,22,12.0,1,10
204,275,873736604458418176,22,11.0,1,9
205,276,954768481121730560,22,10.0,1,7
206,277,819656850168348672,23,10.0,1,8
207,278,797142700322193408,23,16.0,1,13
207,317,797142700322193408,25,16.0,1,13
208,279,238694353663426560,23,14.0,1,11
209,280,851186239448023040,23,12.0,1,9
210,284,409830727186644992,23,15.0,1,12
210,255,409830727186644992,20,15.0,1,12
211,285,671043147706400768,23,13.0,1,10
212,286,445866327433805824,23,14.0,1,11
213,292,801651797507702784,23,14.0,1,11
214,293,594475975446626304,23,13.0,1,10
214,311,594475975446626304,25,13.0,1,10
215,294,968291443351224320,23,14.0,1,11
216,297,27036166293291008,23,14.0,1,11
217,299,225189876973174784,24,11.0,1,7
218,300,220700296119058432,24,13.0,1,9
219,302,166643287975788544,24,15.0,1,12
219,341,166643287975788544,26,15.0,1,12
220,303,180146458995982336,24,12.0,1,10
220,340,180146458995982336,26,12.0,1,10
221,305,662034367903694848,24,14.0,1,9
222,306,671040948683145216,24,10.0,1,7
223,308,360290169212895232,24,13.0,1,12
224,309,873707536119758848,24,13.0,1,10
224,333,873707536119758848,26,13.0,1,10
225,313,292744902175883264,25,12.0,1,9
226,314,166643150536835072,25,12.0,1,10
226,357,166643150536835072,28,12.0,1,10
227,315,873712277763653632,25,14.0,1,5
228,316,423342007105093632,25,14.0,1,8
228,290,423342007105093632,23,14.0,1,8
229,318,765615235187867648,25,12.0,1,9
230,319,801651660068749312,25,12.0,1,10
230,365,801651660068749312,28,12.0,1,10
231,320,211669388644843520,25,14.0,1,11
231,296,211669388644843520,23,14.0,1,11
232,321,382808098630270976,25,11.0,1,8
232,289,382808098630270976,23,11.0,1,8
233,322,27034448306372608,25,14.0,1,11
234,323,180148039543947264,25,14.0,1,11
235,324,63055480024465408,25,11.0,1,9
235,291,63055480024465408,23,11.0,1,9
236,325,801652278544039936,25,12.0,1,9
237,326,63052181489582080,25,14.0,1,11
238,327,202669473654636544,25,13.0,1,10
239,328,639511284525563904,25,14.0,1,11
240,329,450361130968154112,25,12.0,1,9
241,330,860188490900439040,25,15.0,1,12
242,331,166640401757765632,25,16.0,1,13
242,360,166640401757765632,28,16.0,1,13
243,332,243194586036436992,26,11.0,1,9
243,348,243194586036436992,27,11.0,1,9
244,335,364807444016136192,26,12.0,1,9
245,338,495397676997672960,26,12.0,1,10
246,339,306245599294914560,26,11.0,1,7
247,342,450360031456526336,26,14.0,1,10
248,343,364801877738520576,26,10.0,1,7
249,344,824160037478858752,26,12.0,1,9
249,304,824160037478858752,24,12.0,1,9
250,347,220686277345804288,27,14.0,1,11
251,349,954766488256905216,27,14.0,1,11
252,351,135109981685940224,27,12.0,1,8
253,352,301748115700973568,27,14.0,1,10
254,353,752108422035406848,27,13.0,1,10
254,334,752108422035406848,26,13.0,1,10
255,358,220680848507142144,28,11.0,1,9
256,359,639511834298175490,28,13.0,1,5
257,361,765615235187867648,28,12.0,1,9
258,362,40533221280055296,28,12.0,1,9
259,363,639525990493585408,28,14.0,1,11
259,394,639525990493585408,31,14.0,1,11
260,364,639511284525563904,28,14.0,1,11
261,589,743107613692002304,44,13.0,1,11
262,590,648530440969256960,44,13.0,1,10
263,591,117099087869771776,45,12.0,1,9
263,568,117099087869771776,43,12.0,1,9
264,366,22522533622317056,28,12.0,1,9
265,368,166634904199626752,28,12.0,1,9
265,397,166634904199626752,31,12.0,1,9
266,369,639523104275562496,28,15.0,1,12
267,370,585474273750024192,28,13.0,1,11
268,371,139613924910694400,28,12.0,1,9
269,372,810654461276979200,28,12.0,1,10
270,373,598979643793473536,29,12.0,1,9
270,383,598979643793473536,30,12.0,1,9
271,375,734102063704702976,29,17.0,1,11
272,376,454868716325175296,29,11.0,1,6
272,382,454868716325175296,30,11.0,1,6
273,379,306252402523111424,29,16.0,1,11
274,381,657528775411499008,29,15.0,1,12
274,350,657528775411499008,27,15.0,1,12
275,718,261209809179639808,56,12.0,1,9
275,735,261209809179639808,57,12.0,1,9
276,719,22530505081618432,56,12.0,1,8
277,720,864702879485657088,56,12.0,1,8
278,722,864705696984203264,56,14.0,1,12
279,387,396317729281277952,30,11.0,1,9
279,378,396317729281277952,29,11.0,1,9
280,767,824162373941067776,59,14.0,1,10
280,727,824162373941067776,57,14.0,1,10
281,768,675544342152085504,59,11.0,1,9
282,769,743120120636768256,60,10.0,1,8
283,771,941266203454734336,60,14.0,1,11
284,392,18020583262388224,30,12.0,1,10
284,380,18020583262388224,29,12.0,1,10
285,396,954763876916789248,31,15.0,1,12
286,398,639518362631667712,31,12.0,1,9
286,367,639518362631667712,28,12.0,1,9
287,399,544935967228690432,31,11.0,1,9
288,400,427843270270255104,31,12.0,1,9
289,401,220678374605979648,31,13.0,1,10
290,402,364807375296659456,31,14.0,1,11
291,403,648526180361699328,31,10.0,1,7
292,404,734108660774469632,31,12.0,1,9
293,405,27025514774396928,31,13.0,1,11
294,407,535931654191972352,31,13.0,1,10
295,410,292744833456406528,31,14.0,1,11
296,860,220689094844350464,66,13.0,1,11
297,861,274724387632971776,66,16.0,1,13
297,895,274724387632971776,68,16.0,1,13
298,862,117101424331980800,66,13.0,1,10
298,901,117101424331980800,68,13.0,1,10
299,865,216187694240235520,66,10.0,1,7
299,808,216187694240235520,63,10.0,1,7
300,414,112595419522924544,31,15.0,1,12
301,415,315255753487155200,32,11.0,1,6
302,416,639529770064805888,32,16.0,1,12
302,391,639529770064805888,30,16.0,1,12
303,421,409829421516587008,32,14.0,1,10
304,423,364816789864972288,32,11.0,1,7
305,424,445866945909096448,32,8.0,1,3
306,428,409837461695365120,33,10.0,1,8
306,470,409837461695365120,36,10.0,1,8
307,429,103585265330683904,33,13.0,1,10
308,907,364796517619335168,69,11.0,1,6
309,910,117106303414829056,69,12.0,1,9
310,911,801643619889971200,69,14.0,1,9
311,912,274725143547215872,69,11.0,1,8
311,875,274725143547215872,67,11.0,1,8
312,433,364812666696368128,33,16.0,1,13
312,478,364812666696368128,36,16.0,1,13
313,434,220686208626327552,33,15.0,1,12
313,413,220686208626327552,31,15.0,1,12
314,435,707066378447749120,33,14.0,1,11
315,436,364816858584449024,33,13.0,1,10
316,437,635010914713600000,33,12.0,1,10
317,438,743107476253048832,33,14.0,1,11
318,439,202666175119753216,33,15.0,1,12
318,475,202666175119753216,36,15.0,1,12
319,440,657533723213824000,33,15.0,1,12
319,409,657533723213824000,31,15.0,1,12
320,441,369296543833915392,33,11.0,1,9
321,442,180150238567202816,33,14.0,1,11
321,408,180150238567202816,31,14.0,1,11
322,444,94580471257628672,33,14.0,1,9
323,445,905224487174144000,33,14.0,1,11
324,446,797138714592542720,34,11.0,1,8
325,447,220695210877779968,34,13.0,1,10
325,425,220695210877779968,32,13.0,1,10
