node_idx,hit_id,particle_id,nhits
0,2,2.252576343772365e+16,10.0
0,1420,2.252576343772365e+16,10.0
1,4,2.972377128454062e+17,11.0
2,5,4.188357961376072e+17,10.0
2,38,4.188357961376072e+17,10.0
3,6,1.0808769672694989e+17,11.0
4,8,9.547664195374285e+17,10.0
4,48,9.547664195374285e+17,10.0
5,9,7.070727693590856e+17,11.0
6,10,6.755495648323174e+16,14.0
7,13,6.306159605789491e+16,13.0
7,1426,6.306159605789491e+16,13.0
8,14,7.07068508751528e+17,11.0
9,15,6.306427611748762e+16,13.0
9,1427,6.306427611748762e+16,13.0
10,16,6.755461288584806e+16,13.0
11,17,8.24159968759382e+17,11.0
12,18,1.0358464685539328e+17,15.0
13,21,6.169954166924902e+17,13.0
13,45,6.169954166924902e+17,13.0
14,24,8.196559568151511e+17,14.0
15,25,4.1883730796609536e+17,12.0
16,26,7.611100550125322e+17,12.0
17,27,8.016449255600292e+17,11.0
18,28,2.1169007320734106e+17,15.0
19,29,1.396192850298798e+17,12.0
19,54,1.396192850298798e+17,12.0
20,30,2.251876092304425e+17,11.0
21,32,8.737028631953408e+17,12.0
22,33,8.737243036720824e+17,10.0
23,34,4.458650904832246e+17,12.0
23,50,4.458650904832246e+17,12.0
24,35,6.575380525408584e+17,11.0
25,36,8.016515226297958e+17,12.0
26,39,1.3961921631040307e+17,14.0
27,42,8.737045811822592e+17,14.0
28,43,1.0808769672694989e+17,11.0
29,44,2.3869455982185677e+17,14.0
30,46,8.60196324920787e+17,13.0
31,47,1.5762983524866458e+17,13.0
32,51,1.0358973209667174e+17,10.0
33,53,9.277446156147753e+17,13.0
34,89,2.25183829659222e+17,14.0
34,124,2.25183829659222e+17,14.0
35,56,6.169953479730135e+17,13.0
36,59,6.30680556887081e+16,11.0
37,60,9.322458787799368e+17,14.0
38,62,3.96317454403371e+17,14.0
39,107,8.782097613575946e+17,12.0
40,63,6.755516264166195e+16,15.0
41,64,6.306812440818483e+16,14.0
42,65,2.703197440521011e+16,14.0
42,41,2.703197440521011e+16,14.0
43,66,1.8465198276870144e+17,15.0
44,67,7.070691959462953e+17,13.0
44,115,7.070691959462953e+17,13.0
45,68,1.801707856907469e+16,13.0
46,69,8.10658172128723e+17,17.0
46,40,8.10658172128723e+17,17.0
47,71,8.01649667203924e+17,14.0
48,72,1.5313874256606003e+17,13.0
49,73,6.305994679045325e+16,12.0
50,74,6.305575490237235e+16,11.0
51,75,2.2068160442138624e+17,17.0
51,118,2.2068160442138624e+17,17.0
52,76,4.953978144366264e+17,13.0
53,77,5.269216374386852e+17,11.0
54,79,4.954038617505792e+17,11.0
54,57,4.954038617505792e+17,11.0
55,80,2.2968543642176717e+17,14.0
56,82,6.710412922805289e+17,11.0
56,52,6.710412922805289e+17,11.0
57,83,9.457930302652416e+16,13.0
58,84,1.125993365330985e+17,10.0
59,85,7.34096841024471e+17,13.0
60,86,8.556862656626033e+17,12.0
61,138,6.575434813795205e+17,12.0
62,87,5.494408038066422e+17,10.0
62,58,5.494408038066422e+17,10.0
63,88,7.341055683980165e+17,12.0
63,101,7.341055683980165e+17,12.0
64,90,8.601915832768922e+17,16.0
65,93,8.016450629989827e+17,13.0
66,95,7.070693333852488e+17,13.0
66,126,7.070693333852488e+17,13.0
67,97,9.097284991183749e+17,15.0
67,78,9.097284991183749e+17,15.0
68,98,3.9631731696441754e+17,11.0
69,99,1.5762791110331597e+17,16.0
69,128,1.5762791110331597e+17,16.0
70,100,1.5312334940327117e+17,10.0
71,103,6.575340668112077e+17,16.0
72,104,5.584546001311498e+17,16.0
72,61,5.584546001311498e+17,16.0
73,105,4.188357274181304e+17,11.0
73,163,4.188357274181304e+17,11.0
74,106,3.242620593886986e+17,17.0
74,155,3.242620593886986e+17,17.0
75,198,1.5312328068379443e+17,13.0
76,108,2.9273837382559334e+17,14.0
76,150,2.9273837382559334e+17,14.0
77,109,9.682790051259351e+17,13.0
78,110,3.377772563173212e+17,14.0
78,70,3.377772563173212e+17,14.0
79,252,1.711384351075205e+17,11.0
79,225,1.711384351075205e+17,11.0
80,113,6.710565480043643e+17,12.0
81,114,7.791230104130028e+17,15.0
82,247,4.999005894302761e+17,13.0
83,116,7.070730442369925e+17,11.0
83,165,7.070730442369925e+17,11.0
84,184,9.45778599175127e+16,12.0
84,148,9.45778599175127e+16,12.0
85,117,2.2068607118737408e+17,14.0
86,119,1.5313874256606003e+17,13.0
87,121,9.547666256958587e+17,13.0
88,122,9.00759782770606e+16,11.0
89,123,6.710382686235525e+17,16.0
90,125,8.016578448216556e+17,11.0
91,127,9.682913746317476e+17,15.0
91,94,9.682913746317476e+17,15.0
92,129,7.070729755175158e+17,12.0
93,130,4.188358648570839e+17,10.0
93,91,4.188358648570839e+17,10.0
94,131,1.6664521212113715e+17,15.0
94,102,1.6664521212113715e+17,15.0
95,132,6.935553734072074e+17,10.0
96,133,7.521032680746516e+17,10.0
97,134,9.682852585983181e+17,14.0
98,135,4.3234693861710234e+17,13.0
98,144,4.3234693861710234e+17,13.0
99,136,9.908118466697626e+16,12.0
100,241,4.503610622486774e+17,14.0
100,264,4.503610622486774e+17,14.0
101,139,7.341054996785398e+17,13.0
101,167,7.341054996785398e+17,13.0
102,140,7.160746084946412e+17,11.0
102,166,7.160746084946412e+17,11.0
103,142,3.5578677574395494e+17,11.0
104,143,6.305389947650048e+16,13.0
105,145,8.016506292765983e+17,14.0
106,146,6.305836624248832e+16,11.0
107,147,1.7113836638804378e+17,13.0
108,151,6.710382686235525e+17,16.0
109,152,7.746211974920274e+17,12.0
110,154,9.142338854521405e+17,10.0
111,156,9.41263179797758e+17,15.0
112,157,8.3767063020254e+17,13.0
113,159,7.43099092476887e+17,11.0
113,181,7.43099092476887e+17,11.0
114,161,6.575308369958011e+17,13.0
115,162,3.7379952498599526e+17,13.0
116,164,3.963173856838943e+17,11.0
116,111,3.963173856838943e+17,11.0
117,168,7.160744710556877e+17,10.0
118,169,6.710450031322726e+17,10.0
119,170,1.2610298858962944e+17,12.0
119,199,1.2610298858962944e+17,12.0
120,171,6.935555108461609e+17,12.0
120,203,6.935555108461609e+17,12.0
121,172,3.557844392817459e+17,10.0
122,173,9.007522236281651e+16,11.0
122,209,9.007522236281651e+16,11.0
123,174,6.305383075702374e+16,11.0
124,388,1.5312692281606144e+17,12.0
125,389,7.070655538140283e+17,12.0
125,417,7.070655538140283e+17,12.0
126,390,0.0,0.0
127,177,9.682788676869816e+17,10.0
128,178,1.5313152702100275e+17,10.0
129,179,7.385915071198659e+17,11.0
130,180,6.575307682763244e+17,12.0
130,227,6.575307682763244e+17,12.0
131,182,9.412541088268288e+17,13.0
131,223,9.412541088268288e+17,13.0
132,183,2.6120987789911654e+17,10.0
132,158,2.6120987789911654e+17,10.0
133,185,7.476035167379784e+17,13.0
134,186,1.3510805754059162e+17,14.0
135,187,2.1167646675094733e+17,14.0
136,188,1.531268540965847e+17,15.0
137,189,3.3778268515598336e+17,16.0
137,217,3.3778268515598336e+17,16.0
138,190,7.070663097282724e+17,13.0
139,192,7.430956565030502e+17,13.0
140,193,9.142338854521405e+17,10.0
141,194,7.160725469103391e+17,12.0
142,195,7.07067958995714e+17,12.0
143,196,2.0266376993806746e+17,14.0
143,160,2.0266376993806746e+17,14.0
144,197,2.2068023003185152e+17,13.0
144,149,2.2068023003185152e+17,13.0
145,430,9.45766916864082e+16,14.0
146,431,7.97153214402134e+17,12.0
147,432,5.6295442018729984e+17,14.0
148,200,3.3777196491761254e+17,12.0
149,201,4.4586639615328256e+17,12.0
150,384,1.1710444798895718e+17,12.0
150,427,1.1710444798895718e+17,12.0
151,385,4.188401941841183e+17,14.0
152,386,1.666351790775337e+17,12.0
153,204,1.531285720835031e+17,11.0
154,205,6.935548236513935e+17,9.0
155,211,2.2518279886707098e+17,12.0
156,213,7.431075449725256e+17,12.0
156,207,7.431075449725256e+17,12.0
